,Happiness Rank,Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
96,97,Lesotho,4.898,0.37545,1.04103,0.07612000000000001,0.31767,0.16388,0.12504,2015
97,98,Dominican Republic,4.885,0.8953700000000001,1.17202,0.66825,0.57672,0.21684,0.14234000000000002,2015
98,99,Laos,4.876,0.5906600000000001,0.73803,0.54909,0.59591,0.42192,0.24249,2015
99,100,Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.3323,0.026660000000000003,2015
100,101,Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.18259,0.0306,2015
101,102,Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.0,0.013969999999999998,2015
102,103,Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.21854,0.04582,2015
103,104,Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.128,0.02758,2015
104,105,Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.23027,0.06825,2015
105,106,Tajikistan,4.7860000000000005,0.39047,0.8556299999999999,0.5737899999999999,0.47216,0.22974,0.15072,2015
106,107,Tunisia,4.739,0.88113,0.60429,0.73793,0.26268,0.06431,0.06358,2015
107,108,Palestinian Territories,4.715,0.59867,0.92558,0.66015,0.24499,0.11251,0.12905,2015
108,109,Bangladesh,4.694,0.39753,0.4310600000000001,0.60164,0.4082,0.21222,0.12569,2015
109,110,Iran,4.686,1.0088,0.54447,0.69805,0.30033000000000004,0.38086,0.05863,2015
110,111,Ukraine,4.681,0.79907,1.20278,0.6739,0.25123,0.15275,0.02961,2015
111,112,Iraq,4.677,0.98549,0.81889,0.60237,0.0,0.17922000000000002,0.13788,2015
112,113,South Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.11973,0.08884,2015
113,114,Ghana,4.633,0.5455800000000001,0.6795399999999999,0.40132,0.42342,0.23087,0.04355,2015
114,115,Zimbabwe,4.61,0.271,1.03276,0.33475,0.25861,0.18987,0.08079,2015
115,116,Liberia,4.5710000000000015,0.0712,0.78968,0.34201,0.28531,0.24362,0.062320000000000014,2015
116,117,India,4.565,0.64499,0.38174,0.5152899999999999,0.39786,0.26475,0.08492000000000001,2015
117,118,Sudan,4.55,0.52107,1.01404,0.36878,0.10081,0.19062,0.1466,2015
118,119,Haiti,4.518,0.26673,0.74302,0.38847,0.24425,0.46187,0.17175,2015
119,120,Congo (Kinshasa),4.517,0.0,1.0012,0.09806,0.22605,0.24834,0.07625,2015
120,121,Nepal,4.5139999999999985,0.35997,0.86449,0.5687399999999999,0.38282,0.32296,0.05907,2015
121,122,Ethiopia,4.512,0.19073,0.60406,0.44055,0.4345,0.24325,0.15048,2015
122,123,Sierra Leone,4.507,0.33024000000000003,0.95571,0.0,0.4084,0.21488,0.08786000000000001,2015
123,124,Mauritania,4.436,0.45407,0.86908,0.35874,0.24232,0.219,0.17461,2015
124,125,Kenya,4.419,0.36471,0.99876,0.41435,0.42215,0.37542,0.05839,2015
125,126,Djibouti,4.369,0.44025,0.59207,0.36291,0.46074,0.18093,0.28105,2015
126,127,Armenia,4.35,0.7682100000000001,0.7771100000000001,0.7299,0.19847,0.07855,0.039,2015
127,128,Botswana,4.332,0.99355,1.10464,0.04776,0.49495,0.10461,0.12474,2015
128,129,Myanmar,4.307,0.27108000000000004,0.70905,0.4824600000000001,0.44017,0.79588,0.19034,2015
129,130,Georgia,4.297,0.7419,0.38562,0.72926,0.40577,0.055470000000000005,0.38331,2015
130,131,Malawi,4.292,0.016040000000000002,0.41134,0.22562,0.43054,0.33128,0.06977,2015
131,132,Sri Lanka,4.271,0.83524,1.01905,0.70806,0.5372600000000001,0.40828,0.09179,2015
132,133,Cameroon,4.252,0.4225,0.8876700000000001,0.23402,0.49309,0.20618000000000006,0.05786,2015
133,134,Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.11921,0.00872,2015
134,135,Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.11291,0.06324,2015
135,136,Yemen,4.077,0.5464899999999999,0.68093,0.40064,0.35571,0.09131,0.07854,2015
136,137,Angola,4.033,0.75778,0.8604,0.16683,0.10384000000000003,0.12344,0.07122,2015
137,138,Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.18798,0.12352,2015
138,139,Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.12388,0.11686,2015
139,140,Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.17440999999999998,0.199,2015
140,141,Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.29066,0.07267,2015
141,142,Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.20843000000000006,0.10713,2015
142,143,Gabon,3.896,1.06024,0.90528,0.43372,0.31914000000000003,0.06822,0.11091,2015
143,144,Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.19387,0.15639,2015
144,145,Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.40359,0.07247,2015
145,146,Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.34377,0.057470000000000014,2015
146,147,Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.21333,0.08123999999999999,2015
147,148,Central African Republic,3.678,0.0785,0.0,0.06699,0.48879,0.23835,0.08288999999999999,2015
148,149,Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.18386,0.05269,2015
149,150,Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.28657,0.12139,2015
150,151,Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.20165,0.17922000000000002,2015
151,152,Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.21747,0.12832000000000002,2015
152,153,Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.3651,0.09719,2015
153,154,Rwanda,3.465,0.22208000000000006,0.7737,0.42864,0.59201,0.22628,0.55191,2015
154,155,Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.1826,0.0801,2015
155,156,Syria,3.006,0.6632,0.47489,0.7219300000000001,0.15684,0.47179,0.18906,2015
156,157,Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.19727,0.10062,2015
157,158,Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.16681,0.10731,2015
158,1,Denmark,7.526,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.36171,0.44453,2016
159,2,Switzerland,7.508999999999999,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203,2016
160,3,Iceland,7.501,1.42666,1.18326,0.8673299999999999,0.56624,0.47678,0.14975,2016
161,4,Norway,7.497999999999998,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776,2016
162,5,Finland,7.4129999999999985,1.40598,1.13464,0.81091,0.57104,0.25492,0.41004,2016
163,6,Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.44834,0.31329,2016
164,7,Netherlands,7.338999999999999,1.46468,1.02912,0.8123100000000001,0.55211,0.47416,0.29927,2016
165,8,New Zealand,7.334,1.36066,1.17278,0.83096,0.5814699999999999,0.4940100000000001,0.41904,2016
166,9,Australia,7.313,1.44443,1.10476,0.8512,0.5683699999999999,0.47407,0.32331,2016
167,10,Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867,2016
168,11,Israel,7.267,1.33766,0.99537,0.8491700000000001,0.36432,0.32288,0.08728,2016
169,12,Austria,7.119,1.45038,1.0838299999999998,0.80565,0.54355,0.32865,0.21348000000000006,2016
170,13,United States,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868,2016
171,14,Costa Rica,7.0870000000000015,1.06879,1.02152,0.76146,0.55225,0.22553,0.10547,2016
172,15,Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.22202,0.12275,2016
173,16,Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.30452,0.28551,2016
174,17,Brazil,6.952000000000001,1.08754,1.03938,0.61415,0.40425,0.15775999999999998,0.14165999999999998,2016
175,18,Belgium,6.9289999999999985,1.42539,1.05249,0.8195899999999999,0.51354,0.2424,0.26248,2016
176,19,Ireland,6.907,1.48341,1.16157,0.81455,0.54008,0.44963,0.29754,2016
177,20,Luxembourg,6.871,1.69752,1.03999,0.8454200000000001,0.5487,0.27571,0.35329,2016
178,21,Mexico,6.778,1.1150799999999998,0.7146,0.71143,0.37709,0.11735,0.18355,2016
179,22,Singapore,6.739,1.64555,0.8675799999999999,0.94719,0.4877,0.32706,0.46987,2016
180,23,United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399,2016
181,24,Chile,6.705,1.2167,0.90587,0.8188300000000001,0.37789,0.31595,0.11451,2016
182,25,Panama,6.7010000000000005,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423,2016
183,26,Argentina,6.65,1.15137,1.0661200000000002,0.69711,0.42284,0.10989000000000003,0.07296,2016
184,27,Czech Republic,6.596,1.30915,1.00793,0.76376,0.41418,0.09929,0.03986,2016
185,28,United Arab Emirates,6.573,1.57352,0.8711399999999999,0.72993,0.56215,0.26591,0.35561,2016
186,29,Uruguay,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.18056,0.21394,2016
187,30,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554,2016
188,31,Colombia,6.481,1.03032,1.02169,0.59659,0.44735,0.15625999999999998,0.05399,2016
189,32,France,6.478,1.39488,1.00508,0.83795,0.46562,0.1216,0.17808,2016
190,33,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833,2016
191,34,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008,2016
192,34,Taiwan,6.379,1.39729,0.92624,0.79565,0.32377,0.25495,0.0663,2016
193,36,Qatar,6.375,1.82427,0.87964,0.71723,0.56679,0.32388,0.48049,2016
194,37,Spain,6.3610000000000015,1.34253,1.12945,0.8789600000000001,0.37545,0.17665,0.061370000000000015,2016
195,38,Algeria,6.355,1.05266,0.83309,0.6180399999999999,0.21006,0.07044,0.16157,2016
196,39,Guatemala,6.324,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.28808,0.08701,2016
197,40,Suriname,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.16665,0.12692,2016
198,41,Kuwait,6.239,1.61714,0.8775799999999999,0.63569,0.43166,0.15965,0.23669,2016
199,42,Bahrain,6.218,1.44024,0.94397,0.65696,0.47375,0.17147,0.25772,2016
200,43,Trinidad and Tobago,6.167999999999998,1.32572,0.98569,0.52608,0.48453,0.31935,0.01241,2016
201,44,Venezuela,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.0425,0.08304,2016
202,45,Slovakia,6.0779999999999985,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947,2016
203,46,El Salvador,6.068,0.8737,0.80975,0.596,0.37269,0.08877,0.10613,2016
204,47,Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081,2016
205,48,Nicaragua,5.992000000000001,0.69384,0.8952100000000001,0.65213,0.46582,0.29773,0.16292,2016
